Dalibor Dvorský
Jimmy Snuggerud
Otto Stenberg
Joel Hofer
Zach Dean
Logan Cooley
Luke Hughes
Shane Wright
Simon Nemec
Simon Edvinsson
David Jiricek
Brandt Clarke
Alexander Nikishin
Lane Hutson
Cutter Gauthier
Logan Stankoven
Kevin Korchinski
Tristan Luneau
Brock Faber
Pavel Mintyukov
Marco Rossi
Lukas Reichel
Jiri Kulich
Marco Kasper
Mavrik Bourque
William Eklund
Olen Zellweger
Arseni Gritsyuk
Thomas Harley
Ridly Greig
Brad Lambert
Marat Khusnutdinov
Dmitri Buchelnikov
Lian Bichsel
Matthew Savoie
Liam Öhgren
Jakob Pelletier
Luke Evangelista
Scott Morrow
Noah Östlund
Matt Coronato
Matthew Knies
Ivan Miroshnichenko
Connor Zary
Jackson Blake
Sam Rinzel
Jérémie Poirier
Fabian Lysell
Denton Mateychuk
Lukas Cormier
Rutger McGroarty
Jackson LaCombe
Zachary L'Heureux
Jordan Dumais
Hendrix Lapierre
Brennan Othmann
Danila Yurov
Adam Engström
Pavel Dorofeyev
Mackie Samoskevich
Chaz Lucius
Tyson Foerster
Thomas Bordeleau
William Wallinder
Mason Lohrei
Jonathan Lekkerimäki
Alex Turcotte
Dmitri Voronkov
Frank Nazar
Aatu Räty
Nathan Gaucher
Tyson Hinds
Conor Geekie
Isak Rosén
Stanislav Svozil
Xavier Bourgault
Zachary Bolduc
Owen Beck
Joakim Kemell
Noah Warren
Will Cuylle
Carson Lambos
Dmitri Rashevsky
Brendan Brisson
Ethan Del Mastro
Tobias Björnfot
Fyodor Svechkov
Shakir Mukhamadullin
Elliot Desnoyers
Riley Kidney
William Dufour
Joshua Roy
Filip Bystedt
Owen Pickering
Evan Nause
Jean-Luc Foudy
Ty Nelson
Isaac Howard
Jack Peart
Daniil Pylenkov
Henry Thrun
Filip Mesar
Ryan Greene
Matty Beniers
Owen Power
Mason McTavish
Wyatt Johnston
Kent Johnson
Dylan Guenther
Jesper Wallstedt
Ivan Demidov
Macklin Celebrini
Cole Eiserman
Adam Jiricek
Henry Mews
Trevor Connelly
Ryder Ritchie
Cole Hutson
Sam Dickinson
Konsta Helenius
Zayne Parekh
Sacha Boisvert
Aron Kiviharju
Alfons Freij
Charlie Elick
Emil Hemming
Leo Sahlin Wallenius
Igor Chernyshov
Carter Yakemchuk
Beckett Sennecke
Will Skahan
Cole Beaudoin
EJ Emery
Ondrej Kos
Tanner Howe
Anthony Cristoforo
Zeev Buium
Liam Greentree
Tomas Galvas
Kamil Bednarik
Lukas Pettersson
Roope Vesterinen
Cayden Lindstrom
John Whipple
Linus Eriksson
Brodie Ziemer
Giona Nonella
Artyom Levshunov
Michael Brandsegg-Nygård
Maxim Massé
Christian Humphreys
